beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url;metar_station;url.pilot_info;keywords;facility_type;freqs.FIS_NAME;freqs.FIS_FREQUENCY
;Mont-de-l'Enclus;;;;;;;[{'id': '11/29', 'dimension': '2000x60', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['11', '29'], 'length': 2001, 'width': 60, 'TORA': None, 'TODA': None, 'ASDA': '2001', 'LDA': None, '11': {'latlon': [50.7401008606, 3.4848999977], 'elevation': 49.0, 'heading': '11', 'displaced threshold': None}, '29': {'latlon': [50.7401008606, 3.4848999977], 'elevation': 49.0, 'heading': '29', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['2000 x 60 feet', '610 x 18 meters']}];Amougies Airport;50.7401008606;;Belgium;EBAM;;;;3.4848999977;;;;Europe/Brussels;private;Wallonia;;;Mont-de-l'Enclus (EBAM);BE;;;49.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Amougies_Airfield;http://www.airport-amougies.be;https://geohack.toolforge.org/geohack.php?pagename=Amougies_Airfield&params=50_44_22_N_003_29_10_E_region:BE-WHT_type:airport;;;False;;;;;
;Arlon;;;;;;;[{'id': '09/27', 'dimension': '492x98', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['09', '27'], 'length': 492, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '492', 'LDA': None, '09': {'latlon': [49.6627998352, 5.8869400024], 'elevation': 1138.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [49.6627998352, 5.8869400024], 'elevation': 1138.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['492 x 98 feet', '150 x 30 meters']}];Sterpenich Airport;49.6627998352;;Belgium;EBAR;;;;5.8869400024;;;;Europe/Brussels;private;Wallonia;;;Arlon (EBAR);BE;;;2.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Arlon-Sterpenich_Aerodrome;http://www.arelair.be;https://geohack.toolforge.org/geohack.php?pagename=Arlon-Sterpenich_Aerodrome&params=49_39_46_N_005_53_13_E_region:BE-WLX_type:airport;;;False;;;;[];[]
;Hannut;;;;;;;[{'id': '05/23', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['05', '23'], 'length': 827, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '827', 'LDA': None, '05': {'latlon': [50.7066993713, 5.0680599213], 'elevation': 394.0, 'heading': '05', 'displaced threshold': None}, '23': {'latlon': [50.7066993713, 5.0680599213], 'elevation': 394.0, 'heading': '23', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Avernas-Le-Bauduin Airport;50.7066993713;;Belgium;EBAV;;;;5.0680599213;;;;Europe/Brussels;private;Wallonia;;;Hannut (EBAV);BE;;;394.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Avernas-le-Bauduin_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=Avernas-le-Bauduin_Airfield&params=50_42_24_N_005_04_05_E_region:BE-WLG_type:airport;https://upload.wikimedia.org/wikipedia/commons/f/fc/21AEL_%2840616536211%29.jpg;;False;;;;[];[]
;Antwerp;;ANR;1.0;;6450.0;Antwerp Intl;[{'id': '11/29', 'dimension': '4954x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 11 displaced 472 ft (144 m)', 'lighted': True}, 'alignment': None, 'number': ['11', '29'], 'length': 4954, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '4954', 'LDA': None, '11': {'latlon': [51.1975, 4.458055555555556], 'elevation': '28', 'heading': '109', 'displaced threshold': '472 Feet'}, '29': {'latlon': [51.190555555555555, 4.4775], 'elevation': '31', 'heading': '289', 'displaced threshold': ''}, 'dimension2': ['4954 x 148 feet', '1510 x 45 meters'], 'slope': 0, 'properties': None}];Antwerp International;51.1901;;Belgium;EBAW;4.0;0.0;M;4.4627;ARP;Intl;VA;Europe/Brussels;public;Flanders;0.0;640.0;Antwerp (EBAW);BE;;;39.0;True;True;True;;['124.205'];['121.905'];['135.205'];['118.255'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBAW&format=json;https://en.wikipedia.org/wiki/Antwerp_International_Airport;http://antwerp-airport.be;https://geohack.toolforge.org/geohack.php?pagename=Antwerp_International_Airport&params=51_11_22_N_004_27_37_E_region:BE-VAN_type:airport;https://upload.wikimedia.org/wikipedia/commons/b/b6/Luchthavengebouw_Antwerpen-Deurne.jpg;;True;;;;[];[]
;Beauvechain;;;;;6458.0;Beauvechain(AB);[{'id': '04L/22R', 'dimension': '10085x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 04L displaced 2,095 ft (639 m)', 'lighted': True}, 'alignment': None, 'number': ['04L', '22R'], 'length': 10085, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['10085 x 148 feet', '3074 x 45 meters'], 'slope': None, 'properties': None}, {'id': '04R/22L', 'dimension': '8038x74', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 04L displaced 2,095 ft (639 m)', 'lighted': True}, 'alignment': None, 'number': ['04R', '22L'], 'length': 8038, 'width': 74, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['8038 x 74 feet', '2450 x 23 meters'], 'slope': None, 'properties': None}];Beauvechain Air Base;50.7585983276;;Belgium;EBBE;6.0;;;4.7683300972;;;WA;Europe/Brussels;military;Wallonia;;;Beauvechain (EBBE);BE;;;370.0;False;False;False;;;['122.100'];['122.100'];['122.500'];;;;;;;;https://en.wikipedia.org/wiki/Beauvechain_Air_Base;;;;;True;;;;[];[]
;Bastogne;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.0527992249, 5.7986102104], 'elevation': 1770.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Michamps Airport;50.0527992249;;Belgium;EBBG;;;;5.7986102104;;;;Europe/Brussels;;Wallonia;;;Bastogne (EBBG);BE;;;1770.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Kleine Brogel;;;;;6479.0;Kleine-Brogel(AB);[{'id': '05L/23R', 'dimension': '10158x148', 'surface': {'type': None, 'surface': None, 'condition': 'Threshold of Runway 05L displaced 1,085 ft (331 m)', 'lighted': False}, 'alignment': None, 'number': ['05L', '23R'], 'length': 10158, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['10158 x 148 feet', '3096 x 45 meters'], 'slope': None, 'properties': None}, {'id': '05R/23L', 'dimension': '7874x75', 'surface': {'type': None, 'surface': None, 'condition': 'Threshold of Runway 05L displaced 1,085 ft (331 m)', 'lighted': False}, 'alignment': None, 'number': ['05R', '23L'], 'length': 7874, 'width': 75, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['7874 x 75 feet', '2400 x 23 meters'], 'slope': None, 'properties': None}];Kleine Brogel Air Base;51.1683006287;;Belgium;EBBL;6.0;;;5.4699997902;;;VL;Europe/Brussels;military;Flanders;;;Kleine Brogel (EBBL);BE;;;200.0;False;False;False;;;['122.100'];['134.105'];['134.480'];;;;;;;;https://en.wikipedia.org/wiki/Kleine_Brogel_Air_Base;;;;;True;;;;[];[]
;Bullingen;;;;;;;[{'id': '12/30', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['12', '30'], 'length': 955, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '955', 'LDA': None, '12': {'latlon': [50.4150009155, 6.2763900757], 'elevation': 2067.0, 'heading': '12', 'displaced threshold': None}, '30': {'latlon': [50.4150009155, 6.2763900757], 'elevation': 2067.0, 'heading': '30', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Bullingen Airport;50.4150009155;;Belgium;EBBN;;;;6.2763900757;;;;Europe/Brussels;private;Wallonia;;;Bullingen (EBBN);BE;;;3.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Büllingen_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=B%C3%BCllingen_Airfield&params=50_24_54_N_006_16_35_E_region:BE-WLG_type:airport;;;False;;;;;
;Bouillon;;;;;;;[{'id': '09/27', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 760, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '760', 'LDA': None, '09': {'latlon': [49.8664016724, 5.0680599213], 'elevation': 1394.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [49.8664016724, 5.0680599213], 'elevation': 1394.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Mogimont Airport;49.8664016724;;Belgium;EBBO;;;;5.0680599213;;;;Europe/Brussels;;Wallonia;;;Bouillon (EBBO);BE;;;2.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Mogimont_Airport;[];https://geohack.toolforge.org/geohack.php?pagename=Mogimont_Airport&params=49_52_00_N_005_04_06_E_region:BE-WLX_type:airport;;;False;;;;;
B;Brussels;;BRU;3.0;1E;6451.0;Brussels Intl;[{'id': '07L/25R', 'dimension': '11936x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 07L displaced 846 ft (258 m)', 'lighted': True}, 'alignment': None, 'number': ['07L', '25R'], 'length': 11936, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '11936', 'LDA': None, '07L': {'latlon': [50.900277777777774, 4.466666666666667], 'elevation': '121', 'heading': '064', 'displaced threshold': '945 Feet'}, '25R': {'latlon': [50.91916666666666, 4.51], 'elevation': '102', 'heading': '244', 'displaced threshold': '981 Feet'}, 'dimension2': ['11936 x 148 feet', '3638 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '07R/25L', 'dimension': '10535x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 07R displaced 400 ft (122 m)', 'lighted': True}, 'alignment': None, 'number': ['07R', '25L'], 'length': 10535, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '10535', 'LDA': None, '07R': {'latlon': [50.89333333333333, 4.492222222222223], 'elevation': '166', 'heading': '069', 'displaced threshold': '400 Feet'}, '25L': {'latlon': [50.909444444444446, 4.527777777777778], 'elevation': '150', 'heading': '249', 'displaced threshold': ''}, 'dimension2': ['10535 x 148 feet', '3211 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '02/20', 'dimension': '9800x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['02', '20'], 'length': 9800, 'width': '164', 'TORA': None, 'TODA': None, 'ASDA': '9800', 'LDA': None, '02': {'latlon': [50.9006, 4.4874], 'elevation': 184.0, 'heading': '02', 'displaced threshold': None}, '20': {'latlon': [50.9006, 4.4874], 'elevation': 184.0, 'heading': '20', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '01/19', 'dimension': '9800x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 01 displaced 151 ft (46 m)', 'lighted': True}, 'alignment': None, 'number': ['01', '19'], 'length': 9800, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '9800', 'LDA': None, '01': {'latlon': [50.89, 4.496944444444445], 'elevation': '175', 'heading': '013', 'displaced threshold': '151 Feet'}, '19': {'latlon': [50.91833333333333, 4.501944444444445], 'elevation': '105', 'heading': '193', 'displaced threshold': '722 Feet'}, 'dimension2': ['9800 x 164 feet', '2987 x 50 meters'], 'slope': -0.71, 'properties': None}];Brussels Airport;50.9006;;Belgium;EBBR;2.0;18.0;L;4.4874;ARP;Intl;VL;Europe/Brussels;public;Flanders;0.0;63.0;Brussels (EBBR);BE;;;184.0;True;True;True;;['121.755'];['118.055'];['118.605'];['118.255'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBBR&format=json;https://en.wikipedia.org/wiki/Brussels_Airport;http://www.brusselsairport.be/en/;https://geohack.toolforge.org/geohack.php?pagename=Brussels_Airport&params=50_54_05_N_004_29_04_E_region:BE-VBR_type:airport;https://upload.wikimedia.org/wikipedia/commons/0/09/Brussels_airport_from_air.jpg;;True;;;;[];[]
