icao;city_icao;country;country_code
OABN;Bamiyan (OABN);Afghanistan;AF
OABT;Bost (OABT);Afghanistan;AF
OACC;Chakcharan (OACC);Afghanistan;AF
OADZ;Darwaz (OADZ);Afghanistan;AF
OAFR;Farah (OAFR);Afghanistan;AF
OAFZ;Faizabad (OAFZ);Afghanistan;AF
OAHN;Khwahan (OAHN);Afghanistan;AF
OAHR;Herat (OAHR);Afghanistan;AF
OAIX;Bagram (OAIX);Afghanistan;AF
OAJL;Jalalabad (OAJL);Afghanistan;AF
OAKB;Kabul (OAKB);Afghanistan;AF
OAKG;Khojaghar (OAKG);Afghanistan;AF
OAKN;Kandahar International (OAKN);Afghanistan;AF
OAKS;Khost (OAKS);Afghanistan;AF
OAMN;Maimana (OAMN);Afghanistan;AF
OAMS;Mazar I Sharif (OAMS);Afghanistan;AF
OAQM;Kron Monajn (OAQM);Afghanistan;AF
OAQN;Qala-I-Naw (OAQN);Afghanistan;AF
OASA;Sharana (OASA);Afghanistan;AF
OASD;Shindand (OASD);Afghanistan;AF
OASG;Sheberghan (OASG);Afghanistan;AF
OASN;Sheghnan (OASN);Afghanistan;AF
OATN;Tarin Kowt (OATN);Afghanistan;AF
OATQ;Taloqan (OATQ);Afghanistan;AF
OAUZ;Kunduz (OAUZ);Afghanistan;AF
OAYQ;Yangi Qala (OAYQ);Afghanistan;AF
OAYW;Yawan (OAYW);Afghanistan;AF
OAZI;Camp Bastion (OAZI);Afghanistan;AF
OAZJ;Zaranj (OAZJ);Afghanistan;AF
LAGJ;Gjader (LAGJ);Albania;AL
LAKO;Korce (LAKO);Albania;AL
LAKU;Kukes (LAKU);Albania;AL
LAKV;Kucove (LAKV);Albania;AL
LATI;Tirana (LATI);Albania;AL
LAVL;Vlore (LAVL);Albania;AL
DA10;Illizi (DA10);Algeria;DZ
DA11;Hamaguir (DA11);Algeria;DZ
DA12;El Abiodh Sidi Cheikh (DA12);Algeria;DZ
DA13;Tinfouchy (DA13);Algeria;DZ
DA14;Mostaganem (DA14);Algeria;DZ
DA15;Saida (DA15);Algeria;DZ
DA16;Tindouf East (DA16);Algeria;DZ
DAAB;Blida (DAAB);Algeria;DZ
DAAD;Bou Saada (DAAD);Algeria;DZ
DAAE;Bejaia (DAAE);Algeria;DZ
DAAG;Algiers (DAAG);Algeria;DZ
DAAJ;Djanet (DAAJ);Algeria;DZ
DAAK;Boufarik (DAAK);Algeria;DZ
DAAM;Telerghma (DAAM);Algeria;DZ
DAAN;Reggane (DAAN);Algeria;DZ
DAAP;Illizi (DAAP);Algeria;DZ
DAAQ;Ain Oussera (DAAQ);Algeria;DZ
DAAS;Setif (DAAS);Algeria;DZ
DAAT;Tamanrasset (DAAT);Algeria;DZ
DAAV;Jijel (DAAV);Algeria;DZ
DAAW;Bordj Omar Driss (DAAW);Algeria;DZ
DAAY;Mecheria (DAAY);Algeria;DZ
DAAZ;Relizane (DAAZ);Algeria;DZ
DABB;Annabah (DABB);Algeria;DZ
DABC;Constantine (DABC);Algeria;DZ
DABO;Oum El Bouaghi (DABO);Algeria;DZ
DABS;Tebessi (DABS);Algeria;DZ
DABT;Batna (DABT);Algeria;DZ
DAFH;Tilrempt/Mei (DAFH);Algeria;DZ
DAFI;Tsletsi (DAFI);Algeria;DZ
DAOB;Tiaret (DAOB);Algeria;DZ
DAOC;Bechar (DAOC);Algeria;DZ
DAOE;Bou Sfer (DAOE);Algeria;DZ
DAOF;Tindouf (DAOF);Algeria;DZ
DAOI;Chlef (DAOI);Algeria;DZ
DAOL;Tafaraoui (DAOL);Algeria;DZ
DAON;Tlemcen (DAON);Algeria;DZ
DAOO;Oran (DAOO);Algeria;DZ
DAOR;Bechar (DAOR);Algeria;DZ
DAOS;Sidi Bel Abbes (DAOS);Algeria;DZ
DAOV;Mascara/Ghriss (DAOV);Algeria;DZ
DAOY;El Bayadh (DAOY);Algeria;DZ
DATG;In Guezzam (DATG);Algeria;DZ
DATM;Bordj Badji Mokhtar (DATM);Algeria;DZ
DAUA;Adrar/Belkebir (DAUA);Algeria;DZ
DAUB;Biskra (DAUB);Algeria;DZ
DAUE;El Golea International (DAUE);Algeria;DZ
DAUG;Ghardaia (DAUG);Algeria;DZ
DAUH;Hassi Messaoud (DAUH);Algeria;DZ
DAUI;In Salah (DAUI);Algeria;DZ
DAUK;Touggourt (DAUK);Algeria;DZ
DAUL;Laghouat (DAUL);Algeria;DZ
DAUO;Guemar (DAUO);Algeria;DZ
DAUT;Timimoun (DAUT);Algeria;DZ
DAUU;Ouargla (DAUU);Algeria;DZ
DAUZ;Amenas (DAUZ);Algeria;DZ
FN17;Cahama (FN17);Angola;AO
FN18;Matala (FN18);Angola;AO
FN19;Cabo Ledo (FN19);Angola;AO
FNAM;Ambriz (FNAM);Angola;AO
FNBC;Mbanza Congo (FNBC);Angola;AO
FNBG;Benguela (FNBG);Angola;AO
FNCA;Cabinda (FNCA);Angola;AO
FNCB;Camembe (FNCB);Angola;AO
FNCC;Cacolo (FNCC);Angola;AO
FNCF;Cafunfo (FNCF);Angola;AO
FNCH;Chitato (FNCH);Angola;AO
FNCM;Camabatela (FNCM);Angola;AO
FNCT;Catumbela (FNCT);Angola;AO
FNCV;Cuito Cuanavale (FNCV);Angola;AO
FNCX;Camaxilo (FNCX);Angola;AO
FNCZ;Cazombo (FNCZ);Angola;AO
FNDB;Damba (FNDB);Angola;AO
FNDU;Chitato (FNDU);Angola;AO
FNGI;Ngiva (FNGI);Angola;AO
FNHU;Huambo (FNHU);Angola;AO
FNKU;Kuito (FNKU);Angola;AO
FNLB;Lobito (FNLB);Angola;AO
FNLK;Lucapa (FNLK);Angola;AO
FNLU;Luanda (FNLU);Angola;AO
FNLZ;Luzamba (FNLZ);Angola;AO
FNMA;Malanje (FNMA);Angola;AO
FNME;Menongue (FNME);Angola;AO
FNMO;Namibe (FNMO);Angola;AO
FNMQ;Maquela do Zombo (FNMQ);Angola;AO
FNNG;Negage (FNNG);Angola;AO
FNPA;Port Amboim (FNPA);Angola;AO
FNPB;Sanza Pombo (FNPB);Angola;AO
FNSA;Saurimo (FNSA);Angola;AO
FNSO;Soyo (FNSO);Angola;AO
FNSU;Sumbe (FNSU);Angola;AO
FNTO;Toto (FNTO);Angola;AO
FNUA;Luau (FNUA);Angola;AO
FNUB;Lubango (FNUB);Angola;AO
FNUE;Luena (FNUE);Angola;AO
FNUG;Uige (FNUG);Angola;AO
